site_name,context,material,lab_ref,c14_bp,error
Åby,,Charcoal,Beta-251693,3130,40
Adal vestre 1,Possible post hole (ID 4050),Charcoal (Picea),LuS-15264,665,35
Adal vestre 1,Possible post hole (ID 4050),Charcoal (Pinus),LuS-15265,770,35
Adal vestre 1,Fireplace (ID 6032),Charcoal (Pinus),LuS-15266,1885,35
Adal vestre 1,Cooking pit/fireplace (ID 11556),Nutshell (Corylus),LuS-15267,2250,35
Adal vestre 1,Cooking pit (ID 11508),Charcoal (Pinus),LuS-15268,2445,35
Adal vestre 1,Cooking pit (ID 11508),Charcoal (Betula),LuS-15269,1020,35
Adal vestre 1,Cooking pit/fireplace (ID 11521),Nutshell (Corylus),LuS-15270,7950,45
Adal vestre 1,"Quadrant (574x401ySW, layer 2/3)",Nutshell (Corylus),LuS-15271,8020,45
Adal vestre 1,Cooking pit/fireplace (ID 11485),Charcoal (Coniferae indet.),LuS-16260,3255,35
Adal vestre 2,Cooking pit/fireplace (ID 10036),Nutshell (Corylus),LuS-15272,8140,45
Adal vestre 2,Cooking pit/fireplace (ID 10051),Nutshell (Corylus),LuS-15273,8000,45
Adal vestre 2,Layer,Charcoal (Salix),LuS-15274,7850,45
Adalstjern,Lake,Peat (NA),T-8853,164,72
Alveberget 8,Fireplace (ID 1332),Charcoal (Tilia),LuS-14200,2950,40
Alveberget 8,Profile bench (ID 1770),Charcoal (hardwood),LuS-14201,3480,40
Alveberget 8,Profile bench (ID 1770),Charcoal (Alnus/Betula),LuS-14202,1215,40
Alveberget 8,Profile bench (ID 1770),Charcoal (Corylus),LuS-14203,1690,40
Alveberget 8,Profile bench (ID 1306),Charcoal (Alnus),LuS-14204,4070,40
Alveberget 8,Fireplace (ID 1752),Charcoal (Alnus),LuS-14205,3975,40
Alveberget 8,Profile bench (ID 1306),Charcoal (Corylus),LuS-14206,1670,40
Alveberget 8,Profile bench (ID 1306),Charcoal (Corylus),LuS-14207,1190,35
Alveberget 8,Profile bench (ID 1306),Charcoal (Alnus/Corylus),LuS-14208,3095,40
Alveberget 8,Profile bench (ID 1600),Charcoal (Corylus),LuS-14209,1750,40
Alveberget 8,Profile bench (ID 1600),Charcoal (Alnus),LuS-14210,3280,40
Alveberget 8,Profile bench (ID 1600),Charcoal (Salix/Populus),LuS-14211,3500,40
Alveberget 8,Profile bench (ID 1600),Charcoal (Pomoideae),LuS-14212,4360,40
Alveberget 8,Profile bench (ID 1600),Charcoal (Alnus),LuS-14213,4165,40
Alveberget 8,Profile bench (ID 1600),Charcoal (Pinus),LuS-14214,4155,40
Alveberget 8,Profile bench (ID 1750),Charcoal (Corylus),LuS-14215,1690,40
Alveberget 8,Profile bench (ID 1750),Charcoal (Alnus),LuS-14216,4145,40
Alveberget 8,Profile bench (ID 1537),Charcoal (Alnus),LuS-14217,4095,40
Alveberget 8,Profile bench (ID 2504),Charcoal (Corylus),LuS-14218,1175,35
Alveberget 8,Profile bench (ID 2502),Charcoal (Quercus),LuS-14219,4090,40
Alveberget 8,"Square (253x351y, layer 8)",Charcoal (Alnus/Betula),LuS-14220,4130,40
Alveberget 8,"Square (253x347y, layer 8)",Charcoal (Tilia),LuS-14221,3605,40
Alveberget 8,Cultural layer,Cereal (Triticum dicoccum/spelta),LuS-15168,3290,45
Amundsrød,Cooking pit,Charcoal (Salix),T-15483,2466,99
Anvik,Fireplace (ID 10520),Nutshell (Corylus),Ua-46950,7818,49
Anvik,Fireplace (ID 10520),Charcoal (Salix),Ua-46951,7875,52
Anvik,Fireplace (ID 10520),Charcoal (Salix),Ua-46952,7744,49
Anvik,Fireplace (ID 10520),Charcoal (Pinus),Ua-46953,7678,49
Ås Østre,Pit,Charcoal (Pinus),T-12652,2111,47
Asdal 3,Hearth,sjekk (sjekk),Ua-72931,5172,29
Asdal 3,Hearth,sjekk (sjekk),Ua-72933,5359,30
Asdal 3,Layer,sjekk (sjekk),Ua-72934,1261,27
Asdal 3,Layer,sjekk (sjekk),Ua-72935,1264,27
Asdal 3,Layer,sjekk (sjekk),Ua-72936,1138,27
Asdal 3,Hearth,sjekk (sjekk),Ua-72937,5352,30
Asdal 4,Cooking pit,sjekk (sjekk),Ua-73146,1195,30
Asdal 4,Layer,sjekk (sjekk),Ua-73147,5514,34
Asdal 4,Layer,sjekk (sjekk),Ua-73148,4255,32
Asdal 4,Layer,sjekk (sjekk),Ua-73149,4068,32
Asdal 5,Cairn,sjekk (sjekk),Ua-72938,1157,29
Asdal 5,Cairn,sjekk (sjekk),Ua-72939,2290,31
Asdal 5,Cairn,sjekk (sjekk),Ua-72940,1134,29
Auve,Food crust,Food crust (NA),TUa-2154,4937,130
Auve,Food crust,Food crust (NA),TUa-2151,4874,59
Auve,Food crust,Food crust (NA),TUa-2159,4818,89
Auve,Food crust,Food crust (NA),TUa-2153,4811,96
Auve,Food crust,Food crust (NA),TUa-2157,4646,84
Auve,Food crust,Food crust (NA),TUa-740,4583,87
Auve,Food crust,Food crust (NA),TUa-2395,4567,70
Auve,Food crust,Food crust (NA),TUa-2386,4566,69
Auve,Food crust,Food crust (NA),TUa-2148,4543,74
Auve,Food crust,Food crust (NA),TUa-2152,4529,61
Auve,Food crust,Food crust (NA),TUa-2155,4528,93
Auve,Food crust,Food crust (NA),TUa-1213,4515,70
Auve,Food crust,Food crust (NA),TUa-1217,4511,65
Auve,Food crust,Food crust (NA),TUa-2387,4504,66
Auve,Food crust,Food crust (NA),TUa-668,4481,68
Auve,Food crust,Food crust (NA),TUa-2385,4458,68
Auve,Food crust,Food crust (NA),TUa-2591,4447,74
Auve,Food crust,Food crust (NA),TUa-2394,4444,72
Auve,Food crust,Food crust (NA),TUa-2160,4442,88
Auve,Food crust,Food crust (NA),TUa-1215,4440,67
Auve,Food crust,Food crust (NA),TUa-672,4439,55
Auve,Food crust,Food crust (NA),TUa-1216,4438,98
Auve,Food crust,Food crust (NA),TUa-2384,4435,70
Auve,Food crust,Food crust (NA),TUa-1218,4433,66
Auve,Food crust,Food crust (NA),TUa-1220,4432,66
Auve,Square (ID AE21),Charcoal (Pinus/Betula),TUa-3724,4420,80
Auve,Food crust,Food crust (NA),TUa-2161,4417,46
Auve,Food crust,Food crust (NA),TUa-671,4415,54
Auve,Food crust,Food crust (NA),TUa-2391,4401,69
Auve,Food crust,Food crust (NA),TUa-2158,4387,72
Auve,Food crust,Food crust (NA),TUa-739,4382,60
Auve,Food crust,Food crust (NA),TUa-2392,4380,65
Auve,Food crust,Food crust (NA),TUa-2150,4370,75
Auve,Food crust,Food crust (NA),TUa-2393,4364,73
Auve,Square (ID AC22),Charcoal (Salix/Pinus),TUa-3723,4365,55
Auve,Square (ID AC22),Charcoal (Betula/Pinus),TUa-3725,4355,55
Auve,Food crust,Food crust (NA),TUa-669,4345,72
Auve,Food crust,Food crust (NA),TUa-2390,4340,67
Auve,Food crust,Food crust (NA),TUa-670,4332,88
Auve,"Excavation unit, unknown",Charcoal (Ulmus/Salix/Tilia/Pinus),T-4838,4330,190
Auve,Food crust,Food crust (NA),TUa-1214,4320,65
Auve,Food crust,Food crust (NA),TUa-1219,4291,68
Auve,Food crust,Food crust (NA),TUa-2590,4268,74
Auve,Food crust,Food crust (NA),TUa-2389,4250,67
Auve,Square (ID W14),Charcoal (Salix/Corylus/Pinus/Betula),TUa-3721,4240,45
Auve,Square (ID W12),"Charcoal (Decid, indet.)",TUa-3720,4230,60
Auve,Square (ID R9),Charcoal (Salix/Decid. indet./Pinus),TUa-3719,4150,55
Auve,"Excavation unit, unknown",Charcoal (Pinus/Populus),T-3816,4150,110
Auve,Square (ID S11),"Charcoal (Decid, indet./Pinus)",TUa-4122,4130,40
Auve,Food crust,Food crust (NA),TUa-673,4130,72
Auve,Square (ID Q11),Charcoal (Salix/Pinus/Betula),TUa-3718,4095,70
Auve,Square (ID Z17),Charcoal (Betula/Salix/Pinus),TUa-4123,4090,45
Auve,Food crust,Food crust (NA),TUa-2156,3928,75
Auve,Food crust,Food crust (NA),TUa-674,3596,58
Auve,Sand layer,Charcoal (Pinus/Sorbus/Betula),TUa-3716,1640,40
Auve,Sand layer,Charcoal (Salix/Pinus/Corylus),TUa-3717,1215,70
Auve,Pit,Charcoal (NA),T-3817,640,80
Auve,Sand layer,Charcoal (Pinus/Betula),TUa-3722,130,65
Auve,House remains,Bone (Bos taurus),T-10977,183,57
Auve,"Excavation unit, unknown",Charcoal (Pinus),T-3437,3570,160
Auve,"Excavation unit, unknown",Charcoal (Pinus),T-3438,4240,160
Auve,"Excavation unit, unknown",Charcoal (Pinus),T-3436,3570,160
Bakke,Fireplace (ID 2),Charcoal (Betula),TUa-7852,2115,30
Bakke,Fireplace (ID 2),Charcoal (Betula),TUa-7853,6915,40
Barkåker,Posthole,Charcoal (Betula),TUa-2891,3557,55
Barkåker,Hearth,Charcoal (Betula),TUa-2890,3111,57
Barkåker,Cooking pit,"Charcoal (Betula, )",T-15059,1595,101
Basberg,Cultural layer,Charcoal (deciduous tree),T-10292,3379,99
Basberg,Cultural layer,Charcoal (Alnus),T-10294,1883,81
Basberg,Pit,Charcoal (NA),T-10293,1872,122
"Basberg syd, 87/6",Posthole,Charcoal (Alnus),LuS-12326,3265,40
"Basberg syd, 87/6",Cooking pit,Charcoal (Populus),LuS-12321,3010,40
"Basberg syd, 87/6",Pit,Charcoal (Alnus),LuS-12324,2155,35
"Basberg syd, 87/6",Cooking pit,Charcoal (Alnus),LuS-12319,1620,40
"Basberg syd, 87/6",Hearth,Charcoal (Alnus),LuS-12320,1460,35
"Basberg syd, 87/6","Circular ditch, grave",Charcoal (Betula),LuS-12325,1250,35
Berg søndre,Cultural layer,Charcoal (Betula),TUa-2952,3198,64
Berg søndre,Cultural layer,Charcoal ((Betula?)),TUa-2951,2646,61
Bjønnum,Artefact,Wood (Quercus),T-5741,160,80
Bjorstaddalen,Layer,Charcoal (Tilia),Ua-72619,1121,30
Bjorstaddalen,Layer,Charcoal (Pinus),Ua-72620,8289,36
Blåfjell 1,layer 2 (c. 15 cm depth from surface),Charcoal (Populus),LuS-16703,220,30
Blåfjell 1,hearth,Charcoal (Picea),LuS-16704,150,30
Blåfjell 1,hearth(?),Charcoal (Pinus),LuS-16705,185,30
Blåfjell 1,hearth,Charcoal (Pinus),LuS-16706,8625,50
Blåfjell 1,hearth(?),Charcoal (Pinus),LuS-16707,7015,35
Blåfjell 1,hearth,Charcoal (Populus),LuS-16708,8275,40
Blåfjell 1,hearth,Nutshell (Corylus),LuS-16709,1600,30
Blåfjell 1,hearth(?),Nutshell (Corylus avellana),LuS-16387,6980,50
Blåfjell 2,"hearth/cooking pit, layer 3",Charcoal (Pomoideae),LuS-16710,8345,40
Blåfjell 2,"hearth/cooking pit, layer 3",Charcoal (Salix),LuS-16711,8320,45
Blåfjell 2,"hearth/cooking pit, layer 3",Charcoal (Pinus),LuS-16712,4095,35
Blåfjell 2,layer 2 (15-20 cm depth from surface),Charcoal (Salix),LuS-16713,4990,35
Blåfjell 2,layer 2 (15-20 cm depth from surface),Charcoal (Pinus),LuS-16714,6135,40
Blåfjell 2,714x/935y layer 2 (15-20 cm),Charcoal (Indet. ),LuS-16388,6525,40
Blåfjell 2,"725x/934y, layer 3 (20-30 cm)",Nutshell (Corylus avellana),LuS-16389,1615,30
Blåfjell 3,hearth,Charcoal (Quercus),LuS-16715,3410,35
Blåfjell 3,hearth,Charcoal (Populus),LuS-16716,7920,40
Blåfjell 3,hearth/cooking pit,Nutshell (Corylus),LuS-16717,7975,50
Blåfjell 3,hearth/cooking pit,Charcoal (Populus),LuS-16718,7975,40
Blåfjell 3,hearth/cooking pit,Charcoal (Populus/Salix),LuS-16719,8000,40
Blåfjell 3,hearth/cooking pit,Charcoal (Pomoideae),LuS-16720,8205,50
Blåfjell 3,possible cultivation layer,Charcoal (Salix),LuS-16721,8400,45
Blåfjell 3,hearth/cooking pit,Charcoal (Populus),LuS-16722,2260,35
Blåfjell 3,hearth/cooking pit,Charcoal (Salix/Populus),LuS-16723,2190,30
Blåfjell 3,hearth/cooking pit,Charcoal (Frangula),LuS-16724,1350,30
Blåfjell 3,wide and deep cooking pit,Charcoal (Corylus),LuS-16725,2245,30
Blåfjell 3,hearth/cooking pit,Charcoal (Pinus),LuS-16726,8495,40
Blåfjell 3,hearth/cooking pit,Charcoal (Pinus),LuS-16727,4940,35
Blåfjell 3,layer 2 (15-20 cm depth from surface),Charcoal (Frangula),LuS-16728,1855,30
Blåfjell 3,layer 2 (c. 15 cm depth from surface),Burnt Bone (Mammalia),LuS-16729,8185,40
Blåfjell 3,layer 2 (c. 15 cm depth from surface),Burnt Bone (Mammalia),LuS-16730,8030,40
Blåfjell 3,layer 2 (c. 15 cm depth from surface),Burnt Bone (Mammalia),LuS-16731,7995,40
Blåfjell 3,"741x/953y, layer 1 (5-10 cm)",Nutshell (Corylus avellana),LuS-16390,7925,40
Blåfjell 3,"737x/953y, layer 1 (5-10 cm)",Nutshell (Corylus avellana),LuS-16391,7880,45
Blåfjell 3,"741x/951y, layer 2 (15-20 cm)",Nutshell (Corylus avellana),LuS-16392,7915,50
Blåfjell 3,"746x/948y, layer 2 (15-20 cm)",Nutshell (Corylus avellana),LuS-16393,7975,40
Blåfjell 3,"744x/948y, layer 3 (20-30 cm)",Nutshell (Corylus avellana),LuS-16394,1610,35
Blåfjell 3,"741x/950y, layer 3 (20-30 cm)",Nutshell (Corylus avellana),LuS-16395,8005,45
Blåfjell 4,hearth,Charcoal (Salix),LuS-16732,2510,35
Blåfjell 4,hearth/cooking pit,Charcoal (Pinus),LuS-16733,6640,35
Blåfjell 4,hearth,Charcoal (Salix),LuS-16734,7200,40
Blåfjell 4,hearth,Charcoal (decidous indet.),LuS-16735,6380,35
Blåfjell 4,hearth,Nutshell (Corylus),LuS-16736,6905,35
Blåfjell 4,hearth,Charcoal (Pinus),LuS-16737,5250,35
Blåfjell 4,central hearth in possible sunken floor hut,Charcoal (Corylus),LuS-16738,1245,30
Blåfjell 4,layer in possible sunken floor hut,Charcoal (Corylus),LuS-16739,1255,30
Blåfjell 4,layer in possible sunken floor hut,"Bark (bark, indet.)",LuS-16740,2075,30
Blåfjell 4,central hearth,Charcoal (Salix),LuS-16741,6840,40
Blåfjell 4,hearth/cooking pit,Charcoal (Salix/Populus),LuS-16742,6780,45
Blåfjell 4,layer 1 (5-10 cm below surface),Charcoal (Quercus),LuS-16743,6575,35
Blåfjell 4,layer 1 (5-10 cm below surface),Charcoal (Taxus),LuS-16744,2010,35
Blåfjell 4,layer 2 (c. 15 cm depth from surface),Charcoal (Salix),LuS-16745,5855,40
Blåfjell 4,layer 1 (5-10 cm below surface),Nutshell (Corylus),LuS-16746,1765,35
Blåfjell 4,layer 1,Burnt Bone (Mammalia),LuS-16747,6970,35
Blåfjell 4,"712x/984y, layer 1 (5-10 cm)",Nutshell (Corylus avellana),LuS-16396,1135,35
Blåfjell 4,"709x/984y, layer 1 (5-10 cm)",Nutshell (Corylus avellana),LuS-16397,920,30
Blåfjell 4,"706x/961y, layer 3 (20-30 cm)",Nutshell (Corylus avellana),LuS-16398,7165,40
Borge østre 22,,Charcoal (Tilia sp.),UBA-18179,4987,25
Borge østre 22,,Charcoal (Alnus),UBA-18180,3709,25
Borge østre 22,,Nutshell (Hazel nutshell),UBA-18613,3693,43
Borge østre 22,,Charcoal (Fraxinus excelsior. ),UBA-18184,3556,24
Borge østre 22,,Charcoal (Alnus),UBA-18162,3388,25
Borge østre 22,,Charcoal (Corylus avellana),UBA-18175,3386,29
Borge østre 22,,Charcoal (Corylus avellana),UBA-18171,3368,27
Borge østre 22,,Cerealia (Cerealia),UBA-18528,3356,30
Borge østre 22,,Charcoal (Alnus),UBA-18574,3252,27
Borge østre 22,,Bone (Mammalia),UBA-18522,3232,29
Borge østre 22,Cooking pit,Charcoal (Corylus),TRa-2081,3105,40
Borge østre 22,,Charcoal (Quercus),UBA-18177,3064,59
Borge østre 22,,Charcoal (Corylus),UBA-18526,3042,27
Borge østre 22,,Charcoal (Corylus),UBA-18173,3030,29
Borge østre 22,,Charcoal (Alnus),UBA-18163,3026,37
Borge østre 22,,Charcoal (Alnus sp.),UBA-18181,2964,23
Borge østre 22,,Charcoal (Betula sp.),UBA-18178,2959,24
Borge østre 22,,Charcoal (Alnus indet.),UBA-18170,2940,45
Borge østre 22,,Charcoal (Fraxinus),UBA-18164,2939,38
Borge østre 22,,Charcoal (Corylus),UBA-18160,2876,27
Borge østre 22,,Triticum (Triticum),UBA-18527,2875,34
Borge østre 22,,Charcoal (Corylus avellana),UBA-18176,2826,28
Borge østre 22,Pit,Nutshell (Corylus),TRa-1369,2805,30
Borge østre 22,Pit,Charcoal (Alnus),TRa-2078,2705,45
Borge østre 22,,Charcoal (Salix sp),UBA-18185,2647,39
Borge østre 22,,Cereal (Hordeum sp.),UBA-18158,2609,34
Borge østre 22,,Charcoal (Alnus sp.),UBA-18172,2567,27
Borge østre 22,Waterhole,Cereal (Cereal),TRa-1370,2540,35
Borge østre 22,Cooking pit/Hearth,Charcoal (Quercus),TRa-2083,2480,65
Borge østre 22,,Charcoal (Pinus),UBA-18186,2428,23
Borge østre 22,,Charcoal (Corylus avellana),UBA-18169,2413,33
Borge østre 22,Cultivation layer,Cereal (Hordeum),TRa-1366,2305,30
Borge østre 22,Cooking pit,Charcoal (Corylus),TRa-2082,2300,45
Borge østre 22,Ditch,Charcoal (Pinus),TRa-2088,2295,35
Borge østre 22,,Charcoal (Corylus),UBA-18576,2281,27
Borge østre 22,Layer,Charcoal (Quercus),TRa-2086,2260,35
Borge østre 22,,Charcoal (Alnus sp.),UBA-18168,2239,29
Borge østre 22,,Bone (Mammalia),UBA-18521,2230,33
Borge østre 22,-,Charcoal (Salix),TRa-2085,2125,35
Borge østre 22,,Charcoal (Juniperus communis),UBA-18183,2064,23
Borge østre 22,,Charcoal (Betula sp.),UBA-18157,2062,33
Borge østre 22,,Charcoal (Betula),UBA-18167,2054,28
Borge østre 22,Production area,Cereal (Hordeum),TRa-1363,2020,35
Borge østre 22,,Charcoal (Corylus),UBA-18233,1908,21
Borge østre 22,-,Cereal (Wheat),TRa-1367,1870,30
Borge østre 22,Hearth,Charcoal (Fraxinus),TRa-2080,1800,35
Borge østre 22,Cooking pit/Hearth,Charcoal (Fraxinus),TRa-2084,1800,35
Borge østre 22,,Charcoal (Corylus avellana),UBA-18174,1798,32
Borge østre 22,Hearth,Charcoal (Corylus),TRa-2076,1750,35
Borge østre 22,,Charcoal (Alnus),UBA-18159,1730,23
Borge østre 22,,Charcoal (Alnus),UBA-18166,1418,34
Borge østre 22,,Charcoal (Alnus),UBA-18165,1363,31
Borge østre 22,Layer,Charcoal (Corylus),TRa-2077,1360,30
Borge østre 22,,Charcoal (Alnus sp.),UBA-18182,1337,25
Borge østre 22,Layer,Charcoal (Betula),TRa-2079,1320,35
Borge østre 22,,Charcoal (Corylus),UBA-18236,1205,18
Borge østre 22,,Bone (Sus scrofus),UBA-18520,1093,27
Borge østre 22,,Charcoal (Betula),UBA-18234,784,18
Borre Nasjonalpark,Posthole,Charcoal (tilia),TUa-2665,1420,66
Borre Nasjonalpark,Grave,Charcoal (decidious tree),T-14765,1138,58
Borre Prestegård,Pit,Charcoal (deciduous tree),TUa-456,3442,85
Borre Prestegård,Pit,Charcoal (deciduous tree),TUa-454,3318,79
Borre Prestegård,Hearth,Charcoal (Corylus),T-10164,2841,87
Borre Prestegård,Pit,Charcoal (NA),TUa-455,1990,81
Borre Prestegård,Pit,Charcoal (deciduous tree),TUa-453,1919,73
Borre Prestegård,Hearth,Charcoal (Quercus),T-10242,1518,81
Borre Prestegård,Cultural layer,Charcoal (Quercus),T-10246,1471,85
Borre Prestegård,Posthole,Charcoal (Fraxinus),T-10245,1393,154
Borre Prestegård,Hearth,Charcoal (deciduous tree),T-10244,1327,100
Borre Prestegård,Hearth,Charcoal (deciduous tree),T-10243,1294,77
Borre Prestegård,Cooking pit,Charcoal (Betula),T-10159,1234,67
Borre Prestegård,Cooking pit,Charcoal (Betula),T-10160,1229,68
Borre Prestegård,Cooking pit,Charcoal (deciduous tree),T-10162,1189,80
Borre Prestegård,Cooking pit,Charcoal (NA),T-10161,1175,76
Borre Prestegård,Hearth,Nutshell (Corylus),T-10166,887,46
Borre Prestegård,Hearth,Charcoal (Pinus),T-10163,333,62
Borre Prestegård,Cooking pit,Charcoal (NA),T-10165,249,92
Borre Prestegård,Burial mound,Charcoal (Corylus),T-10054,2031,150
Borre Prestegård,Plyndringsmasse,Charcoal (NA),T-10056,1417,89
Borre Prestegård,Plyndringsmasse,Charcoal (Corylus),T-10055,1401,81
Bratsberg,,Charcoal,TRa-2499,4800,40
Brønnum,Wall embankment,Charcoal (Pinus),TUa-1144,1517,86
Brønnum,Wall embankment,Charcoal (Pinus),TUa-1123,834,62
Brunla,Burial mound,Charcoal (NA),T-11024,2369,73
Brunstad 24,Cooking pit (ID 4990),Charcoal (Corylus),UBA-28736,7439,39
Brunstad 24,Cooking pit (ID 4979),Charcoal (Corylus),UBA-28735,7374,45
Brunstad 24,Cooking pit (ID 4967),"Charcoal (Decid, indet.)",UBA-28734,7285,37
Brunstad 24,"Quadrant (50x54yNE, layer 3)",Charcoal (Corylus),Ua-48383,7090,35
Brunstad 24,Cooking pit,Charcoal (Salix/Populus),UBA-28279,6948,35
Brunstad 24,Cooking pit (ID 4200),Charcoal (Fagus),UBA-28732,6873,43
Brunstad 24,"Quadrant (50x54yNE, layer 2)",Charcoal (Betula),Ua-48381,6850,35
Brunstad 24,Cooking pit (ID 2000),Charcoal (Fraxinus),Ua-48384,2715,30
Brunstad 24,"Quadrant 50x50x10 cm (50x54y NE, layer 3)",Charcoal (Quercus),Ua-48382,2646,30
Brunstad 24,Cooking pit (ID 2574),Charcoal (Populus/Salix),UBA-28729,6948,35
Brunstad 24,Cooking pit (ID 2000),Charcoal (Fraxinus),UBA-28728,2460,26
Brunstad 24,Cooking pit (ID 3934),Charcoal (Corylus),UBA-28730,2403,26
Brunstad 24,Cooking pit (ID 4362),Charcoal (Tilia),UBA-28733,2250,27
Brunstad 24,Cooking pit (ID 4010),Charcoal (Corylus),UBA-28731,2240,27
Brunstad 25,Cooking pit (ID 3185),Charcoal (Populus),UBA-28740,7067,37
Brunstad 25,"Grave, layer 8 (ID 2400)",Charcoal (Acer),LuS-11115,7060,45
Brunstad 25,Fireplace (ID 4663),Nutshell (Corylus),UBA-28743,7057,38
Brunstad 25,Floor layer? (ID 4604),Charcoal (Ulmus),UBA-28744,7032,34
Brunstad 25,"Grave, layer 6/7 (ID 2400)",Charcoal (Populus),UBA-28737,6943,44
Brunstad 25,Cooking pit (ID 4895),"Charcoal (Decid, indet.)",UBA-28745,6920,37
Brunstad 25,Cooking pit (ID 3783),Charcoal (Alnus/Corylus),UBA-28742,6886,47
Brunstad 25,Grave (ID 2400),"Bone, unburnt (Human, skull)",LuS-11202,3645,50
Brunstad 25,Grave (ID 2400),"Bone, unburnt (Human, skull)",LuS-11114,3790,35
Brunstad 25,Grave (ID 2400),"Bone, unburnt (Human, right femur)",LuS-11229,4370,95
Brunstad 25,"Grave, layer 5 (ID 2400)",Charcoal (indet.),Beta-383181,7030,30
Brunstad 25,Post hole (ID 2429),Charcoal (Alnus),UBA-28739,2749,27
Brunstad 25,Post hole (ID 2409),Charcoal (Alnus),UBA-28738,2715,28
Brunstad 25,Post hole (ID 3737),Charcoal (Corylus),UBA-28741,2659,26
Dørdal,Fireplace (ID 792),Charcoal (Pinus),Beta-417123,7120,30
Dørdal,Fireplace (ID 1134),Charcoal (Pinus),Beta-417122,7070,30
Dørdal,Fireplace (ID 792),Charcoal (Pinus),Ua-53183,7050,31
Dørdal,Fireplace (ID 1134),Charcoal (Pinus),Ua-53184,6956,31
Dybdalshei 1,Cooking pit (ID 501),Charcoal (Salix),Ua-53022,8566,36
Dybdalshei 1,Cooking pit (ID 519),Charcoal (Malinae),Ua-53023,8462,36
Dybdalshei 1,Cooking pit (ID 545),Charcoal (Malinae),Ua-53027,8422,36
Dybdalshei 1,Cooking pit (ID 556),Charcoal (Malinae),Ua-53028,8199,35
Dybdalshei 1,Cooking pit (ID 566),Charcoal (Betula),Ua-53029,6202,32
Dybdalshei 1,Cooking pit (ID 537),Charcoal (Alnus),Ua-53026,6150,32
Dybdalshei 1,Cooking pit (ID 531),Charcoal (Populus),Ua-53025,5310,31
Dybdalshei 1,Cooking pit (ID 526),Charcoal (Quercus),Ua-53024,5262,31
Dybdalshei 2,Cooking pit (ID 650),Charcoal (Pinus),Ua-53030,3868,30
Dyre,Cooking pit,Charcoal (Tilia),T-10651,2135,55
E18 lok.10,Cooking pit,Charcoal (Corylus),UBA-17465,1608,23
E18 lok.10,Hearth,Charcoal (Juniper),UBA-17466,833,33
E18 lok.11,Cooking pit,Charcoal (Alnus),UBA-17467,2526,29
E18 lok.11,Posthole,Charcoal (Alnus),UBA-17533,2265,23
E18 lok.11,Posthole,Charcoal (Alnus),UBA-17536,2013,21
E18 lok.11,Posthole,Charcoal (Alnus),UBA-17535,2006,22
E18 lok.11,Wall ditch,Cereal (Cerealia),TRa-1343,1995,25
E18 lok.11,Pit,Charcoal (Hordeum),UBA-17538,1983,21
E18 lok.11,Hearth,Charcoal (Corylus),UBA-17469,1982,20
E18 lok.11,Posthole,Charcoal (Cerealia),UBA-17534,1970,21
E18 lok.11,Posthole,Charcoal (Alnus),UBA-17537,1967,22
E18 lok.11,Cooking pit,Charcoal (Betula),UBA-17532,1964,22
E18 lok.11,Cooking pit,Charcoal (Alnus),UBA-17468,877,21
E18 lok.12,Pit,Charcoal (Corylus),TRa-1556,2325,30
E18 lok.12,Pit,Charcoal (Corylus),TRa-1562,2155,30
E18 lok.12,Pit,Charcoal (Pinus),TRa-1561,2130,30
E18 lok.12,Pit,Charcoal (Populus sp.),TRa-2265,2105,40
E18 lok.12,Pit,Charcoal (Corylus),TRa-1555,2095,25
E18 lok.12,Cooking pit,Charcoal (Tilia),TRa-1557,2090,25
E18 lok.12,Cooking pit,Charcoal (Quercus),TRa-1560,2085,25
E18 lok.12,Cooking pit,Charcoal (Quercus),TRa-1559,2075,25
E18 lok.35,Posthole,Charcoal (Corylus),TRa-1794,2130,40
E18 lok.35,Hearth,Charcoal (Corylus),TRa-1797,2125,30
E18 lok.35,Hearth,Charcoal (Prunus),TRa-1119,2065,40
E18 lok.47,Unknown,Charcoal (Corylus),UBA-17539,3278,29
E18 lok.47,Unknown,Charcoal (Hordeum),UBA-17470,2067,24
E18 lok.47,Unknown,Charcoal (Hordeum),UBA-17471,2064,24
E18 lok.47,Cooking pit,Charcoal (Alnus),TRa-1923,1875,30
E18 lok.47,Cooking pit,Charcoal (Betula),TRa-1921,1745,30
E18 lok.47,Oven/forge/furnace,Charcoal (Betula),TRa-1920,1740,30
E18 lok.47,Cooking pit,Charcoal (Quercus),TRa-1922,1740,30
E18 lok.50,Grave,"Charcoal (Mineralised wood, Alnus)",TRa-2075,4185,85
E18 lok.50,Grave,"Charcoal (Mineralised wood, Alnus)",TRa-2074,3350,95
E18 lok.50,Posthole,Bone (mammalia),TRa-2616,2585,25
E18 lok.50,Grave,Bone (Human),TRa-2615,2500,25
E18 lok.50,Grave,Charcoal (Corylus),UBA-17801,2438,25
E18 lok.50,Posthole,Cereal (Hordeum),TRa-1373,2355,45
E18 lok.50,Pit,Cereal (Cereal),TRa-1371,2325,45
E18 lok.50,Grave,Charcoal (Alnus),TRa-1800,2325,35
E18 lok.50,Unknown,Charcoal (Corylus),TRa-1127,2265,30
E18 lok.50,Posthole,Cereal (Hordeum),TRa-1372,2245,30
E18 lok.50,Grave,Bone (Human),TRa-2614,1950,25
E18 lok.50,Grave,Charcoal (Corylus),TRa-1126,1875,40
